itemid,label,linksto
220972,Octoplas,inputevents
221204,Tentrini,inputevents
220861,Albumin (Human) 20%,inputevents
220865,Aquadestila,inputevents
220991,Mannitol 20%,inputevents
221211,"Sodium Bicarbonate 1,4%",inputevents
220988,Mannitol 5%,inputevents
221017,"Dextrose 2,5%",inputevents
220951,Dextrose 20.%,inputevents
220986,Intralipid 30%,inputevents
221012,Vivonex Pediatric,inputevents
221203,Nutrini,inputevents
220954,"Saline 0,9%",inputevents
220971,ESDEP (Solvent / Detergent Virus-Inactivated Plasma),inputevents
220962,Saline 3%,inputevents
221004,Thrombocyte suspension,inputevents
221197,Fresubin Original Fibre,inputevents
220863,Albumin (Human) 4%,inputevents
220866,Darrow,inputevents
221011,Vivonex Plus,inputevents
221202,Infatrini,inputevents
220956,Ringers Acetate,inputevents
220969,Filtered erytrocytes,inputevents
221210,Suplena,inputevents
220966,"Dextrose 2,5% / Saline 0,45%",inputevents
221028,Stresson,inputevents
220980,Hextend (Hetastarch 6% in Lactate),inputevents
220984,Intralipid 10%,inputevents
221193,Auto transfusion,inputevents
221205,Nutrison pre,inputevents
225818,Pleural Fluid Culture,procedureevents
225817,BAL Fluid Culture,procedureevents
225815,Peritoneal Fluid,procedureevents
